frame,action,room,x,y,lives,level,items,orb_count_or_score_lo,dx,dy,r0,r1,r2,r3,r4,r5,r6,r7,r8,r9,r10,r11,r12,r13,r14,r15,r16,r17,r18,r19,r20,r21,r22,r23,r24,r25,r26,r27,r28,r29,r30,r31,r32,r33,r34,r35,r36,r37,r38,r39,r40,r41,r42,r43,r44,r45,r46,r47,r48,r49,r50,r51,r52,r53,r54,r55,r56,r57,r58,r59,r60,r61,r62,r63,r64,r65,r66,r67,r68,r69,r70,r71,r72,r73,r74,r75,r76,r77,r78,r79,r80,r81,r82,r83,r84,r85,r86,r87,r88,r89,r90,r91,r92,r93,r94,r95,r96,r97,r98,r99,r100,r101,r102,r103,r104,r105,r106,r107,r108,r109,r110,r111,r112,r113,r114,r115,r116,r117,r118,r119,r120,r121,r122,r123,r124,r125,r126,r127
0,12,1,77,235,5,0,0,210,,,68,0,4,1,0,243,124,117,253,117,253,117,253,117,253,117,253,117,253,0,0,0,46,253,129,210,124,209,124,209,0,208,21,208,100,209,107,209,4,211,152,253,77,235,14,254,240,57,0,4,4,0,76,6,0,0,255,0,5,255,0,0,8,0,0,0,15,31,51,31,17,21,25,1,17,12,33,145,23,3,0,182,146,0,0,0,19,2,0,1,19,0,0,0,0,0,0,185,210,0,0,0,191,0,255,255,0,49,13,0,2,28,12,0,0,0,0,0,0,0,0,0,0,0,46,218,139,219
1,13,1,76,238,5,0,0,210,-1,3,69,0,4,1,0,90,133,117,253,117,253,117,253,117,253,117,253,117,253,0,0,0,46,253,129,210,124,209,124,209,165,208,21,208,100,209,107,209,4,211,152,253,76,238,14,254,240,57,0,4,4,0,76,6,0,0,255,0,5,255,0,0,8,0,0,0,15,31,51,31,17,21,25,1,17,12,33,145,23,3,0,182,146,0,0,0,18,2,0,77,19,0,0,0,0,0,0,185,210,0,0,0,223,64,255,255,0,50,13,0,1,28,12,0,0,0,0,0,0,0,0,0,0,0,46,218,139,219
2,1,1,75,241,5,0,0,210,-1,3,70,0,4,1,0,34,143,117,253,117,253,117,253,117,253,117,253,117,253,0,0,0,46,253,129,210,124,209,124,209,165,208,21,208,100,209,107,209,4,211,152,253,75,241,14,254,240,57,0,4,4,0,76,6,0,0,255,0,5,255,0,0,8,0,0,0,15,31,51,31,17,21,25,1,17,12,33,145,23,3,0,182,146,0,0,0,17,2,0,76,19,0,0,0,0,0,0,185,210,0,0,0,255,64,255,255,0,51,13,0,0,28,12,0,0,0,0,0,0,0,0,0,0,0,46,218,139,219
3,8,1,74,244,5,0,0,210,-1,3,71,0,4,1,0,42,145,117,253,117,253,117,253,117,253,117,253,117,253,0,0,0,46,253,129,210,124,209,124,209,165,208,21,208,100,209,107,209,4,211,152,253,74,244,14,254,240,57,0,4,4,0,76,6,0,0,255,0,5,255,0,0,8,0,0,0,15,31,51,31,17,21,25,1,17,12,33,145,23,3,0,182,146,0,0,0,16,2,0,75,19,0,0,0,0,0,0,185,210,0,0,0,95,64,255,255,0,52,14,0,3,28,12,0,0,0,0,0,0,0,0,0,0,0,46,218,139,219
4,16,1,73,246,5,0,0,210,-1,2,72,0,4,1,0,50,179,117,253,117,253,117,253,117,253,117,253,117,253,0,0,0,46,253,116,210,124,209,124,209,165,208,21,208,101,209,108,209,3,211,93,253,73,246,14,254,240,56,0,4,4,0,76,6,0,0,255,0,5,255,0,0,9,0,0,0,15,31,51,31,17,21,25,1,17,12,33,145,23,3,0,182,146,0,0,0,15,2,0,74,19,0,0,0,0,0,0,185,210,0,0,0,95,64,255,255,0,53,14,0,2,28,12,0,0,0,0,0,0,0,0,0,0,0,46,218,139,219
5,15,1,72,248,5,0,0,210,-1,2,73,0,4,1,0,26,213,117,253,117,253,117,253,117,253,117,253,117,253,0,0,0,46,253,116,210,124,209,124,209,165,208,21,208,101,209,108,209,3,211,93,253,72,248,14,254,240,56,0,4,4,0,76,6,0,0,255,0,5,255,0,0,9,0,0,0,15,31,51,31,17,21,25,1,17,12,33,145,23,3,0,182,146,0,0,0,14,2,0,73,19,0,0,0,0,0,0,185,210,0,0,0,175,64,255,255,0,54,14,0,1,28,12,0,0,0,0,0,0,0,0,0,0,0,46,218,139,219
6,12,1,71,250,5,0,0,210,-1,2,74,0,4,1,0,226,127,117,253,117,253,117,253,117,253,117,253,117,253,0,0,0,46,253,116,210,124,209,124,209,165,208,21,208,101,209,108,209,3,211,93,253,71,250,14,254,240,56,0,4,4,0,76,6,0,0,255,0,5,255,0,0,9,0,0,0,15,31,51,31,17,21,25,1,17,12,33,145,23,3,0,182,146,0,0,0,13,2,0,72,19,0,0,0,0,0,0,185,210,0,0,0,191,64,255,255,0,55,14,0,0,28,12,0,0,0,0,0,0,0,0,0,0,0,46,218,139,219
7,9,1,70,251,5,0,0,210,-1,1,75,0,4,1,0,101,128,117,253,117,253,117,253,117,253,117,253,117,253,0,0,0,46,253,116,210,124,209,124,209,165,208,21,208,101,209,108,209,3,211,93,253,70,251,14,254,240,56,0,4,4,0,76,6,0,0,255,0,5,255,0,0,9,0,0,0,15,31,51,31,17,21,25,1,17,12,33,145,23,3,0,182,146,0,0,0,12,2,0,71,19,0,0,0,0,0,0,185,210,0,0,0,159,64,255,255,0,56,15,0,2,28,12,0,0,0,0,0,0,0,0,0,0,0,46,218,139,219
8,15,1,69,252,5,0,0,210,-1,1,76,0,4,1,0,235,128,117,253,117,253,117,253,117,253,117,253,117,253,0,0,0,46,253,116,210,124,209,124,209,165,208,21,208,101,209,108,209,3,211,93,253,69,252,14,254,240,55,0,4,4,0,76,6,0,0,255,0,5,255,0,0,9,0,0,0,15,31,51,31,17,21,25,1,17,12,33,145,23,3,0,182,146,0,0,0,11,2,0,70,19,0,0,0,0,0,0,185,210,0,0,0,175,64,255,255,0,57,15,0,1,28,12,0,0,0,0,0,0,0,0,0,0,0,46,218,139,219
9,11,1,68,252,5,0,0,210,-1,0,77,0,4,1,0,113,129,117,253,117,253,117,253,117,253,117,253,117,253,0,0,0,46,253,116,210,124,209,124,209,165,208,21,208,101,209,108,209,3,211,93,253,68,252,14,254,240,55,0,4,4,0,76,6,0,0,255,0,5,255,0,0,9,0,0,0,15,31,51,31,17,21,25,1,17,12,33,145,23,3,0,182,146,0,0,0,10,2,0,69,19,0,0,0,0,0,0,185,210,0,0,0,127,64,255,255,0,57,15,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,46,218,139,219
10,6,1,67,252,5,0,0,210,-1,0,78,0,4,1,0,215,131,117,253,117,253,117,253,117,253,117,253,117,253,0,0,0,46,253,116,210,124,209,124,209,165,208,21,208,101,209,108,209,3,211,93,253,67,252,14,254,240,55,0,4,4,0,76,6,0,0,255,0,5,255,0,0,9,0,0,0,15,31,51,31,17,21,25,1,17,12,33,145,23,3,0,182,146,0,0,0,9,2,0,68,19,0,0,0,0,0,0,185,210,0,0,0,111,64,255,255,0,57,16,0,3,0,12,0,0,0,0,0,0,0,0,0,0,0,46,218,139,219
11,16,1,66,252,5,0,0,210,-1,0,79,0,4,1,0,165,132,117,253,117,253,117,253,117,253,117,253,117,253,0,0,0,46,253,116,210,124,209,124,209,165,208,21,208,101,209,108,209,3,211,93,253,66,252,14,254,240,55,0,4,4,0,76,6,0,0,255,0,5,255,0,0,9,0,0,0,15,31,51,31,17,21,25,1,17,12,33,145,23,3,0,182,146,0,0,0,8,2,0,67,19,0,0,0,0,0,0,185,210,0,0,0,95,64,255,255,0,57,16,0,2,0,12,0,0,0,0,0,0,0,0,0,0,0,46,218,139,219
12,4,1,65,252,5,0,0,210,-1,0,80,0,4,1,0,171,141,117,253,117,253,117,253,117,253,117,253,117,253,0,0,0,46,253,104,210,124,209,124,209,165,208,21,208,100,209,107,209,2,211,152,253,65,252,14,254,240,54,0,4,4,0,76,6,0,0,255,0,5,255,0,0,10,0,0,0,15,31,51,31,17,21,25,1,17,12,33,145,23,3,0,182,146,0,0,0,7,2,0,66,19,0,0,0,0,0,0,185,210,0,0,0,191,64,255,255,0,57,16,0,1,0,12,0,0,0,0,0,0,0,0,0,0,0,46,218,139,219
13,9,1,64,251,5,0,0,210,-1,-1,81,0,4,1,0,177,150,117,253,117,253,117,253,117,253,117,253,117,253,0,0,0,46,253,104,210,124,209,124,209,165,208,21,208,100,209,107,209,2,211,152,253,64,251,14,254,240,54,0,4,4,0,76,6,0,0,255,0,5,255,0,0,10,0,0,0,15,31,51,31,17,21,25,1,17,12,33,145,23,3,0,182,146,0,0,0,6,2,0,65,19,0,0,0,0,0,0,185,210,0,0,0,159,64,255,255,0,57,16,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,46,218,139,219
14,4,1,63,250,5,0,0,210,-1,-1,82,0,4,1,0,151,187,117,253,117,253,117,253,117,253,117,253,117,253,0,0,0,46,253,104,210,124,209,124,209,165,208,21,208,100,209,107,209,2,211,152,253,63,250,14,254,240,54,0,4,4,0,76,6,0,0,255,0,5,255,0,0,10,0,0,0,15,31,51,31,17,21,25,1,17,12,33,145,23,3,0,182,146,0,0,0,5,2,0,64,19,0,0,0,0,0,0,185,210,0,0,0,191,64,255,255,0,57,17,0,2,0,12,0,0,0,0,0,0,0,0,0,0,0,46,218,139,219
15,3,1,62,248,5,0,0,210,-1,-2,83,0,4,1,0,101,204,117,253,117,253,117,253,117,253,117,253,117,253,0,0,0,46,253,104,210,124,209,124,209,165,208,21,208,100,209,107,209,2,211,152,253,62,248,14,254,240,54,0,4,4,0,76,6,0,0,255,0,5,255,0,0,10,0,0,0,15,31,51,31,17,21,25,1,17,12,33,145,23,3,0,182,146,0,0,0,4,2,0,63,19,0,0,0,0,0,0,185,210,0,0,0,127,64,255,255,0,57,17,0,1,0,12,0,0,0,0,0,0,0,0,0,0,0,46,218,139,219
