#{"t_start": 1776962197.221586, "env_id": "None"}
r,l,t
30.0,350,1.800861
30.0,311,3.071203
100.0,1000,4.044131
70.0,680,5.340963
40.0,461,5.778795
30.0,374,6.659228
60.0,386,7.105069
30.0,388,7.987138
30.0,312,8.933349
100.0,893,10.206301
40.0,477,10.67346
30.0,396,11.546683
40.0,415,12.903853
90.0,660,12.905142
60.0,579,15.066096
110.0,929,16.032376
40.0,380,17.351137
80.0,972,18.856848
40.0,448,20.559392
90.0,691,20.559455
30.0,345,21.851145
60.0,497,22.338574
60.0,511,24.107763
60.0,667,24.112906
70.0,648,26.330669
80.0,1000,27.620318
40.0,415,27.67679
50.0,441,28.993437
30.0,363,30.292697
110.0,775,30.321482
40.0,404,31.630166
90.0,750,32.947358
50.0,427,32.995433
30.0,372,34.303451
60.0,501,34.697327
30.0,389,35.623583
80.0,616,37.645411
50.0,591,38.567308
30.0,375,38.975268
30.0,353,39.944183
40.0,488,40.309419
40.0,393,41.276616
50.0,457,41.703344
30.0,337,42.563559
30.0,323,42.975954
30.0,355,43.859075
60.0,597,44.841885
30.0,383,45.204865
40.0,385,46.542947
70.0,601,47.067823
30.0,330,48.353588
70.0,701,48.869095
60.0,547,50.161615
30.0,382,50.196731
30.0,380,51.535611
40.0,459,53.289679
80.0,885,53.299821
50.0,356,55.303905
40.0,488,55.734761
30.0,360,56.599203
70.0,583,57.591525
40.0,391,57.97282
30.0,332,58.889128
40.0,507,59.761125
40.0,413,60.284242
30.0,339,61.600729
90.0,721,62.123657
30.0,370,63.432489
60.0,614,63.481707
30.0,354,64.781382
70.0,573,65.571666
70.0,581,66.930863
40.0,400,68.286171
120.0,847,68.317521
50.0,418,69.679314
160.0,1000,71.793736
80.0,609,71.848838
40.0,396,73.894162
50.0,461,74.32693
30.0,393,75.66304
80.0,718,76.165369
30.0,381,76.969937
30.0,398,77.806731
60.0,596,79.135156
40.0,462,79.213224
40.0,418,80.558096
50.0,521,80.903933
30.0,327,81.83736
40.0,422,83.214142
260.0,943,84.05077
40.0,503,84.96598
40.0,406,85.397432
50.0,530,86.739971
40.0,450,87.095094
40.0,410,88.447989
50.0,499,88.496475
30.0,342,89.752019
30.0,372,89.836772
