#{"t_start": 1776968530.403308, "env_id": "None"}
r,l,t
40.0,501,7.681176
80.0,674,11.911969
100.0,417,16.335044
70.0,734,23.285163
50.0,562,25.584798
30.0,328,32.154865
60.0,475,32.341875
30.0,334,36.798056
30.0,338,38.911966
30.0,356,45.713744
90.0,537,45.991187
40.0,470,52.731256
80.0,622,57.265463
70.0,620,64.023425
70.0,610,68.48706
40.0,461,72.931162
40.0,476,77.465552
30.0,375,79.686875
30.0,359,84.707761
130.0,829,93.753411
100.0,690,100.319015
50.0,561,104.752906
50.0,483,109.201407
30.0,383,115.861601
70.0,754,118.067152
80.0,467,122.752761
70.0,609,127.238164
40.0,421,131.630395
30.0,362,134.074076
30.0,386,138.527783
30.0,379,140.922031
30.0,361,143.27785
50.0,495,150.482194
40.0,347,150.545406
70.0,444,157.362014
80.0,570,161.623517
40.0,425,166.24032
60.0,611,171.062625
40.0,458,173.314782
30.0,355,177.727744
30.0,333,182.736691
30.0,316,187.155
30.0,333,189.344511
30.0,356,194.226282
60.0,556,196.38197
90.0,498,203.303667
110.0,606,207.892194
30.0,345,210.191266
40.0,392,214.656652
30.0,324,219.465067
90.0,722,223.906134
60.0,583,233.160413
80.0,890,235.475524
30.0,387,239.988286
60.0,534,244.549817
70.0,645,251.220905
30.0,370,251.268884
60.0,524,260.203586
60.0,662,262.497736
60.0,520,269.257969
30.0,402,271.278363
30.0,348,278.176198
60.0,510,282.525232
30.0,345,284.808742
30.0,343,287.221494
60.0,617,295.91599
60.0,561,298.184129
30.0,358,302.898974
90.0,724,307.294989
50.0,599,314.117937
40.0,499,316.371366
50.0,452,323.063197
40.0,431,330.040275
100.0,838,332.152705
60.0,530,339.113962
50.0,531,341.271332
40.0,462,348.017363
70.0,674,352.961483
30.0,377,355.228191
80.0,453,362.102679
30.0,380,362.133492
30.0,367,370.720986
60.0,548,373.075487
30.0,388,379.87021
60.0,625,380.039427
70.0,552,391.326231
70.0,707,391.539151
30.0,392,398.055836
80.0,731,404.897828
60.0,514,407.041742
30.0,364,411.632685
40.0,430,413.982264
30.0,322,416.318167
100.0,616,425.081157
180.0,811,431.677613
50.0,456,433.847156
40.0,425,438.543897
30.0,367,438.63159
30.0,333,445.331089
40.0,462,447.641585
