kind,run,trainer,game,net,seed,steps_cfg,steps_done,complete,final_return,batch,n_envs,n_steps,n_minibatches,unroll,vec_workers,vec_threads,double_buffer,worker_device,learner_gpus,precision,compiled,ddp,env_threads,mps,node,cfg_hash,path
run,natfix_bossfight_s1,impala,bossfight,nature,1,150000000,149127168,True,37.431,256,,,,64,12,5,True,"cuda:1,cuda:2,cuda:3",1,bf16,True,,,,,7c0f00aa,outputs/_natfix/natfix_bossfight_s1
run,natfix_bossfight_s2,impala,bossfight,nature,2,150000000,149143552,True,36.737,256,,,,64,12,5,True,"cuda:1,cuda:2,cuda:3",1,bf16,True,,,,,7c0f00aa,outputs/_natfix/natfix_bossfight_s2
run,natfix_chaser_s1,impala,chaser,nature,1,150000000,149356544,True,88.333,256,,,,64,12,5,True,"cuda:1,cuda:2,cuda:3",1,bf16,True,,,,,2857827f,outputs/_natfix/natfix_chaser_s1
run,natfix_chaser_s2,impala,chaser,nature,2,150000000,149389312,True,84.458,256,,,,64,12,5,True,"cuda:1,cuda:2,cuda:3",1,bf16,True,,,,,2857827f,outputs/_natfix/natfix_chaser_s2
run,natfix_leaper_s1,impala,leaper,nature,1,150000000,149143552,True,24.863,256,,,,64,12,5,True,"cuda:1,cuda:2,cuda:3",1,bf16,True,,,,,ee205bac,outputs/_natfix/natfix_leaper_s1
run,natfix_leaper_s2,impala,leaper,nature,2,150000000,149159936,True,22.577,256,,,,64,12,5,True,"cuda:1,cuda:2,cuda:3",1,bf16,True,,,,,ee205bac,outputs/_natfix/natfix_leaper_s2
run,natfix_ninja_s1,impala,ninja,nature,1,150000000,149127168,True,11.365,256,,,,64,12,5,True,"cuda:1,cuda:2,cuda:3",1,bf16,True,,,,,f82e4401,outputs/_natfix/natfix_ninja_s1
run,natfix_ninja_s2,impala,ninja,nature,2,150000000,149127168,True,11.441,256,,,,64,12,5,True,"cuda:1,cuda:2,cuda:3",1,bf16,True,,,,,f82e4401,outputs/_natfix/natfix_ninja_s2
run,natfix_starpilot_s1,impala,starpilot,nature,1,150000000,149225472,True,9.282,256,,,,64,12,5,True,"cuda:1,cuda:2,cuda:3",1,bf16,True,,,,,058af9ee,outputs/_natfix/natfix_starpilot_s1
run,natfix_starpilot_s2,impala,starpilot,nature,2,150000000,149159936,True,9.152,256,,,,64,12,5,True,"cuda:1,cuda:2,cuda:3",1,bf16,True,,,,,058af9ee,outputs/_natfix/natfix_starpilot_s2
run,_ppo_dbsmoke,ppo,breakout,nature,0,1500000,1499136,True,92.9,,192,128,8,,,,,,,fp32,False,,0,,,d6829e66,outputs/_ppo_dbsmoke
run,_ppo_ddp_ddp1_192,ppo,breakout,nature,0,8000000,7987200,True,94.475,,192,128,8,,,,,,,fp32,False,False,23,,,9cf7b355,outputs/_ppo_ddp_ddp1_192
run,_ppo_ddp_ddp1_192_mb8,ppo,breakout,nature,0,8000000,7987200,True,94.475,,192,128,8,,,,,,,fp32,False,False,23,,,9cf7b355,outputs/_ppo_ddp_ddp1_192_mb8
run,_ppo_ddp_ddp4_1536_mb64,ppo,breakout,nature,0,8000000,7864320,True,98.7,,1536,128,64,,,,,,,fp32,False,True,12,,,a6f2bf6c,outputs/_ppo_ddp_ddp4_1536_mb64
run,_ppo_ddp_ddp4_1536_mb64_bf,ppo,breakout,nature,0,8000000,7864320,True,90.7,,1536,128,64,,,,,,,bf16,False,True,12,,,7bd47552,outputs/_ppo_ddp_ddp4_1536_mb64_bf
run,_ppo_ddp_ddp4_192,ppo,breakout,nature,0,8000000,7987200,True,96.256,,192,128,8,,,,,,,fp32,False,True,23,,,c6211461,outputs/_ppo_ddp_ddp4_192
run,_ppo_ddp_ddp4_768,ppo,breakout,nature,0,8000000,7962624,True,93.267,,768,128,8,,,,,,,fp32,False,True,23,,,8fe70f14,outputs/_ppo_ddp_ddp4_768
run,_ppo_ddp_ddp4_768_mb32,ppo,breakout,nature,0,8000000,7962624,True,92.0,,768,128,32,,,,,,,fp32,False,True,12,,,aa6c55b1,outputs/_ppo_ddp_ddp4_768_mb32
run,_ppo_ddp_ddp4_768_mb32_bf,ppo,breakout,nature,0,8000000,7962624,True,98.4,,768,128,32,,,,,,,bf16,False,True,12,,,eddb508a,outputs/_ppo_ddp_ddp4_768_mb32_bf
run,_ppo_ddp_ddp4_768_t12,ppo,breakout,nature,0,8000000,7962624,True,93.267,,768,128,8,,,,,,,fp32,False,True,12,,,af8692db,outputs/_ppo_ddp_ddp4_768_t12
run,_ppo_env_baseline,ppo,breakout,nature,0,8000000,7987200,True,94.475,,192,128,8,,,,,,,fp32,False,,0,,,d764505d,outputs/_ppo_env_baseline
run,_ppo_env_ser_384_plain,ppo,breakout,nature,0,8000000,7962624,True,92.7,,384,128,8,,,,,,,fp32,False,,0,,,a0f14e40,outputs/_ppo_env_ser_384_plain
run,_ppo_env_ser_384_s128,ppo,breakout,nature,0,8000000,7962624,True,96.457,,384,128,4,,,,,,,bf16,False,,0,,,e607cb7f,outputs/_ppo_env_ser_384_s128
run,_ppo_env_ser_768_plain,ppo,breakout,nature,0,8000000,7962624,True,89.233,,768,128,8,,,,,,,fp32,False,,0,,,4bbbfc1f,outputs/_ppo_env_ser_768_plain
run,_ppo_env_ser_768_s128,ppo,breakout,nature,0,8000000,7962624,True,98.767,,768,128,4,,,,,,,bf16,False,,0,,,e4838fdd,outputs/_ppo_env_ser_768_s128
run,_ppo_icf_icnn_1g,ppo,breakout,impala,0,8000000,7987200,True,97.088,,192,128,8,,,,,,,fp32,False,False,23,,,1e179e11,outputs/_ppo_icf_icnn_1g
run,_ppo_icf_icnn_1g_bf,ppo,breakout,impala,0,8000000,7987200,True,95.181,,192,128,8,,,,,,,bf16,False,False,23,,,9e5feb8c,outputs/_ppo_icf_icnn_1g_bf
run,_ppo_icf_icnn_4g,ppo,breakout,impala,0,8000000,7962624,True,94.4,,768,128,32,,,,,,,fp32,False,True,12,,,39a1a912,outputs/_ppo_icf_icnn_4g
run,_ppo_icf_icnn_4g_bf,ppo,breakout,impala,0,8000000,7962624,True,95.767,,768,128,32,,,,,,,bf16,False,True,12,,,39d405be,outputs/_ppo_icf_icnn_4g_bf
run,_ppo_icf_nat_1g,ppo,breakout,nature,0,8000000,7987200,True,94.475,,192,128,8,,,,,,,fp32,False,False,23,,,9cf7b355,outputs/_ppo_icf_nat_1g
run,_ppo_icf_nat_4g,ppo,breakout,nature,0,8000000,7962624,True,92.0,,768,128,32,,,,,,,fp32,False,True,12,,,aa6c55b1,outputs/_ppo_icf_nat_4g
run,_ppo_icnn_icnn_1g,ppo,breakout,impala,0,6000000,5996544,True,97.708,,192,128,8,,,,,,,fp32,False,False,23,,,d5a823c2,outputs/_ppo_icnn_icnn_1g
run,_ppo_icnn_icnn_1g_bf,ppo,breakout,impala,0,6000000,5996544,True,91.817,,192,128,8,,,,,,,bf16,False,False,23,,,4323d171,outputs/_ppo_icnn_icnn_1g_bf
run,_ppo_icnn_icnn_4g,ppo,breakout,impala,0,6000000,5996544,True,91.25,,768,128,32,,,,,,,fp32,False,True,12,,,2deb7806,outputs/_ppo_icnn_icnn_4g
run,_ppo_icnn_icnn_4g_bf,ppo,breakout,impala,0,6000000,5996544,True,90.65,,768,128,32,,,,,,,bf16,False,True,12,,,f88f6c09,outputs/_ppo_icnn_icnn_4g_bf
run,_ppo_icnn_nat_1g,ppo,breakout,nature,0,6000000,5996544,True,95.65,,192,128,8,,,,,,,fp32,False,False,23,,,9495f687,outputs/_ppo_icnn_nat_1g
run,_ppo_icnn_nat_4g,ppo,breakout,nature,0,6000000,5996544,True,93.1,,768,128,32,,,,,,,fp32,False,True,12,,,e1743ac2,outputs/_ppo_icnn_nat_4g
run,_ppo_mm_baseline,ppo,breakout,nature,0,8000000,7987200,True,94.475,,192,128,8,,,,,,,fp32,False,,0,,,d764505d,outputs/_ppo_mm_baseline
run,_ppo_mm_e384_mb16_bf16,ppo,breakout,nature,0,8000000,7962624,True,96.371,,384,128,16,,,,,,,bf16,False,,0,,,65eadd4f,outputs/_ppo_mm_e384_mb16_bf16
run,_ppo_mm_e384_mb16_fp32,ppo,breakout,nature,0,8000000,7962624,True,94.757,,384,128,16,,,,,,,fp32,False,,0,,,3554a088,outputs/_ppo_mm_e384_mb16_fp32
run,_ppo_mm_e768_mb32_bf16,ppo,breakout,nature,0,8000000,7962624,True,93.967,,768,128,32,,,,,,,bf16,False,,0,,,66ad72b2,outputs/_ppo_mm_e768_mb32_bf16
run,_ppo_mm_e768_mb32_fp32,ppo,breakout,nature,0,8000000,7962624,True,94.8,,768,128,32,,,,,,,fp32,False,,0,,,95e47e8a,outputs/_ppo_mm_e768_mb32_fp32
run,_ppo_ph_dbuf,ppo,breakout,nature,0,4000000,3981312,True,90.686,,192,128,8,,,,,,,fp32,False,,0,,,bb985f44,outputs/_ppo_ph_dbuf
run,_ppo_ph_dbuf_e384,ppo,breakout,nature,0,4000000,3981312,True,96.886,,384,64,4,,,,,,,bf16,False,,0,,,9cc0f367,outputs/_ppo_ph_dbuf_e384
run,_ppo_ph_serial,ppo,breakout,nature,0,4000000,3981312,True,97.971,,192,128,8,,,,,,,fp32,False,,0,,,9c23fee7,outputs/_ppo_ph_serial
