# Table 1(a): which node each array task ran on.
# Recovered from sacct -X on 2026-09-17; task index maps to the GAMES array in t1a_t3fix.sbatch.
# arm	row	job	task	game	node	submit	end
adv2	impala_icnn	44670899	0	plunder	holygpu8a15604	2026-09-05T18:03:04	2026-09-05T18:11:10
adv2	impala_icnn	44670899	1	bigfish	holygpu8a15604	2026-09-05T18:03:04	2026-09-05T18:15:54
adv2	impala_icnn	44670899	2	bossfight	holygpu8a13301	2026-09-05T18:03:04	2026-09-05T19:19:55
adv2	impala_icnn	44670899	3	ninja	holygpu8a13301	2026-09-05T18:03:04	2026-09-05T19:26:40
adv2	impala_icnn	44670899	4	starpilot	holygpu8a13301	2026-09-05T18:03:04	2026-09-05T19:33:16
adv2	impala_icnn	44670899	5	heist	holygpu8a13301	2026-09-05T18:03:04	2026-09-05T19:39:50
adv2	impala_icnn	44670899	6	leaper	holygpu8a13301	2026-09-05T18:03:04	2026-09-05T19:44:59
adv2	impala_icnn	44670899	7	maze	holygpu8a13601	2026-09-05T18:03:04	2026-09-05T20:15:30
adv2	impala_icnn	44670899	8	dodgeball	holygpu8a13601	2026-09-05T18:03:04	2026-09-05T20:20:09
adv2	impala_icnn	44670899	9	jumper	holygpu8a13601	2026-09-05T18:03:04	2026-09-05T20:26:43
adv2	impala_icnn	44670899	10	chaser	holygpu8a13601	2026-09-05T18:03:04	2026-09-05T20:31:17
adv2	impala_icnn	44670899	11	caveflyer	holygpu8a13601	2026-09-05T18:03:04	2026-09-05T20:37:50
adv2	impala_icnn	44670899	12	coinrun	holygpu8a13601	2026-09-05T18:03:04	2026-09-05T20:44:26
adv2	impala_icnn	44670899	13	fruitbot	holygpu8a13601	2026-09-05T18:03:04	2026-09-05T20:49:03
adv2	impala_icnn	44670899	14	climber	holygpu8a13601	2026-09-05T18:03:04	2026-09-05T20:53:42
adv2	impala_icnn	44670899	15	miner	holygpu8a13601	2026-09-05T18:03:04	2026-09-05T20:58:24
adv2	impala_icnn	44670899	16	pong	holygpu8a13601	2026-09-05T18:03:04	2026-09-05T21:02:58
adv2	impala_icnn	44670899	17	freeway	holygpu8a13601	2026-09-05T18:03:04	2026-09-05T21:07:32
adv2	impala_icnn	44670899	18	seaquest	holygpu8a13601	2026-09-05T18:03:04	2026-09-05T21:14:04
adv2	impala_icnn	44670899	19	space_invaders	holygpu8a13601	2026-09-05T18:03:04	2026-09-05T21:18:39
adv2	impala_icnn	44670899	20	asteroids	holygpu8a13601	2026-09-05T18:03:04	2026-09-05T21:25:14
adv2	impala_icnn	44670899	21	frostbite	holygpu8a13503	2026-09-05T18:03:04	2026-09-05T21:31:19
adv2	impala_icnn	44670899	22	breakout	holygpu8a13503	2026-09-05T18:03:04	2026-09-05T21:37:57
adv2	impala_icnn	44670899	23	qbert	holygpu8a13503	2026-09-05T18:03:04	2026-09-05T21:42:38
adv2	impala_nature	44670988	0	plunder	holygpu8a15604	2026-09-05T18:04:30	2026-09-05T18:20:43
adv2	impala_nature	44670988	1	bigfish	holygpu8a15604	2026-09-05T18:04:30	2026-09-05T18:25:32
adv2	impala_nature	44670988	2	bossfight	holygpu8a15604	2026-09-05T18:04:30	2026-09-05T18:30:11
adv2	impala_nature	44670988	3	ninja	holygpu8a15604	2026-09-05T18:04:30	2026-09-05T18:34:56
adv2	impala_nature	44670988	4	starpilot	holygpu8a15604	2026-09-05T18:04:30	2026-09-05T18:39:41
adv2	impala_nature	44670988	5	heist	holygpu8a15604	2026-09-05T18:04:30	2026-09-05T18:44:24
adv2	impala_nature	44670988	6	leaper	holygpu8a15604	2026-09-05T18:04:30	2026-09-05T18:49:09
adv2	impala_nature	44670988	7	maze	holygpu8a15604	2026-09-05T18:04:30	2026-09-05T18:53:51
adv2	impala_nature	44670988	8	dodgeball	holygpu8a15604	2026-09-05T18:04:30	2026-09-05T18:58:31
adv2	impala_nature	44670988	9	jumper	holygpu8a15604	2026-09-05T18:04:30	2026-09-05T19:03:11
adv2	impala_nature	44670988	10	chaser	holygpu8a15604	2026-09-05T18:04:30	2026-09-05T19:07:53
adv2	impala_nature	44670988	11	caveflyer	holygpu8a15604	2026-09-05T18:04:30	2026-09-05T19:12:37
adv2	impala_nature	44670988	12	coinrun	holygpu8a15604	2026-09-05T18:04:30	2026-09-05T19:17:22
adv2	impala_nature	44670988	13	fruitbot	holygpu8a15604	2026-09-05T18:04:30	2026-09-05T19:22:03
adv2	impala_nature	44670988	14	climber	holygpu8a15604	2026-09-05T18:04:30	2026-09-05T19:26:50
adv2	impala_nature	44670988	15	miner	holygpu8a15604	2026-09-05T18:04:30	2026-09-05T19:31:38
adv2	impala_nature	44670988	16	pong	holygpu8a15604	2026-09-05T18:04:30	2026-09-05T19:36:23
adv2	impala_nature	44670988	17	freeway	holygpu8a15604	2026-09-05T18:04:30	2026-09-05T19:41:40
adv2	impala_nature	44670988	18	seaquest	holygpu8a15604	2026-09-05T18:04:30	2026-09-05T19:46:52
adv2	impala_nature	44670988	19	space_invaders	holygpu8a13102	2026-09-05T18:04:30	2026-09-05T19:56:05
adv2	impala_nature	44670988	20	asteroids	holygpu8a13102	2026-09-05T18:04:30	2026-09-05T20:00:45
adv2	impala_nature	44670988	21	frostbite	holygpu8a13102	2026-09-05T18:04:30	2026-09-05T20:05:25
adv2	impala_nature	44670988	22	breakout	holygpu8a13102	2026-09-05T18:04:30	2026-09-05T20:10:05
adv2	impala_nature	44670988	23	qbert	holygpu8a13102	2026-09-05T18:04:30	2026-09-05T20:14:43
